Unnamed: 0_x,capture_id,image_rank_in_capture,image_path_rel,Unnamed: 0_y,season,site,roll,capture,capture_date_local,capture_time_local,subject_id,question__species,question__count_max,question__count_median,question__count_min,question__standing,question__resting,question__moving,question__eating,question__interacting,question__young_present,p_users_identified_this_species,pielous_evenness_index,question__horns_visible,is_animal,species_idx,count_idx
493783,SER_S9#I05#2#615,2,S9/I05/I05_R2/S9_I05_R2_IMAG1764.JPG,192812,S9,I05,2,615,2014-09-29,13:31:02,ASG001mdx7,wildebeest,1,1.0,1,0.1,0.9,0.1,0.0,0.0,0.0,0.83,0.52,,1,0,1
871365,SER_S9#Q11#4#35,2,S9/Q11/Q11_R4/S9_Q11_R4_IMAG0102.JPG,331542,S9,Q11,4,35,2014-11-26,15:56:47,ASG001mlhp,hartebeest,11-50,3.0,2,0.5,0.0,0.67,1.0,0.08,0.0,0.92,0.76,,1,1,3
212182,SER_S11#H05#1#982,1,SER_S11/H05/H05_R1/SER_S11_H05_R1_IMAG2805.JPG,83142,SER_S11,H05,1,982,2015-09-23,12:54:26,27837579,gazellethomsons,3,3.0,2,1.0,0.0,0.1,0.0,0.0,0.1,0.91,0.44,,1,2,3
531642,SER_S10#O05#1#307,3,S10/O05/O05_R1/S10_O05_R1_IMAG0880.JPG,198360,S10,O05,1,307,2014-12-16,10:53:44,ASG001xq17,wildebeest,2,2.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,1,0,2
443963,SER_S11#P06#2#681,2,SER_S11/P06/P06_R2/SER_S11_P06_R2_IMAG1809.JPG,170469,SER_S11,P06,2,681,2015-11-27,15:13:54,31556901,zebra,1,1.0,1,0.11,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,1,3,1
575337,SER_S8#K09#3#1003,1,S8/K09/K09_R3/S8_K09_R3_IMAG2748.JPG,213775,S8,K09,3,1003,2014-06-26,15:12:32,ASG001awqy,gazelleThomsons,1,1.0,1,0.2,0.0,0.8,0.0,0.0,0.0,1.0,0.0,,1,4,1
31505,SER_S10#C02#1#281,1,S10/C02/C02_R1/S10_C02_R1_IMAG0755.JPG,11597,S10,C02,1,281,2015-03-11,11:41:15,ASG001vh9j,wildebeest,4,3.0,2,0.4,0.1,0.0,0.9,0.0,0.0,0.83,0.65,,1,0,3
333726,SER_S11#K13#2#1130,2,SER_S11/K13/K13_R2/SER_S11_K13_R2_IMAG3096.JPG,130196,SER_S11,K13,2,1130,2015-10-17,18:14:12,29769013,gazellethomsons,11-50,3.0,3,0.43,0.0,0.86,0.0,0.0,0.14,0.88,0.54,,1,2,3
499466,SER_S4#S13#2#445,1,S4/S13/S13_R2/S4_S13_R2_IMAG1303.JPG,191913,S4,S13,2,445,2012-03-05,19:05:56,ASG000digr,zebra,1,1.0,1,0.95,0.0,0.05,0.0,0.0,0.0,1.0,0.0,,1,3,1
187397,SER_S11#G07#1#475,1,SER_S11/G07/G07_R1/SER_S11_G07_R1_IMAG1404.JPG,73880,SER_S11,G07,1,475,2015-10-10,12:48:29,27731573,gazellethomsons,1,1.0,1,0.89,0.0,0.11,0.0,0.0,0.0,1.0,0.0,,1,2,1
53079,SER_S2#C11#3#360,2,S2/C11/C11_R3/S2_C11_R3_IMAG0801.JPG,19882,S2,C11,3,360,2011-05-13,08:06:32,ASG0003tq0,wildebeest,4,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,1,0,1
106693,SER_S5#C13#3#730,1,S5/C13/C13_R3/S5_C13_R3_IMAG2066.JPG,41587,S5,C13,3,730,2012-12-05,12:10:02,ASG000npxr,zebra,11-50,10.0,7,0.9,0.0,0.2,0.8,0.8,0.0,1.0,0.0,,1,3,4
